Epoch,Loss,Val Acc
1,1.9458484649658203,0.092
2,1.9415017366409302,0.224
3,1.9354819059371948,0.276
4,1.928735375404358,0.338
5,1.9207274913787842,0.336
6,1.9097414016723633,0.362
7,1.9014986753463745,0.352
8,1.8938086032867432,0.42
9,1.8816983699798584,0.408
10,1.8655190467834473,0.446
11,1.8566384315490723,0.422
12,1.8431154489517212,0.456
13,1.824815273284912,0.484
14,1.8122180700302124,0.46
15,1.7977700233459473,0.478
16,1.7838214635849,0.464
17,1.7670778036117554,0.478
18,1.7496764659881592,0.504
19,1.728437900543213,0.496
20,1.7336187362670898,0.498
21,1.7082805633544922,0.518
22,1.6760821342468262,0.488
23,1.6814473867416382,0.476
24,1.6390984058380127,0.504
25,1.6272673606872559,0.506
26,1.6175246238708496,0.488
27,1.5891138315200806,0.546
28,1.5614584684371948,0.526
29,1.5446345806121826,0.534
30,1.54789137840271,0.522
31,1.5029187202453613,0.562
32,1.5212424993515015,0.548
33,1.4869590997695923,0.564
34,1.4585987329483032,0.578
35,1.4271026849746704,0.618
36,1.4318281412124634,0.58
37,1.3781839609146118,0.554
38,1.3619695901870728,0.57
39,1.3352850675582886,0.568
40,1.3222830295562744,0.584
41,1.2998133897781372,0.63
42,1.3026999235153198,0.618
43,1.2561042308807373,0.64
44,1.2498297691345215,0.6
45,1.2160990238189697,0.648
46,1.1836754083633423,0.638
47,1.1833144426345825,0.608
48,1.1755667924880981,0.638
49,1.1570862531661987,0.598
50,1.1247817277908325,0.638
51,1.142431616783142,0.638
52,1.0856467485427856,0.64
53,1.0298203229904175,0.618
54,1.0644681453704834,0.646
55,1.0345370769500732,0.662
56,0.9980859160423279,0.652
57,0.9519330859184265,0.654
58,0.9592971801757812,0.67
59,0.9661728739738464,0.66
60,0.984863817691803,0.666
61,0.9110110402107239,0.652
62,0.8764345645904541,0.678
63,0.9034802913665771,0.656
64,0.8481765985488892,0.65
65,0.8713622689247131,0.672
66,0.8710209727287292,0.662
67,0.8279767036437988,0.666
68,0.8558259010314941,0.656
69,0.7718027830123901,0.686
70,0.7910956144332886,0.654
71,0.7907531261444092,0.658
72,0.7676815986633301,0.692
73,0.7505835890769958,0.682
74,0.780096173286438,0.702
75,0.6978039741516113,0.69
76,0.7090547680854797,0.702
77,0.7328711748123169,0.708
78,0.7004868388175964,0.698
79,0.7035030722618103,0.698
80,0.6554041504859924,0.7
81,0.6648150682449341,0.676
82,0.6904465556144714,0.69
83,0.6455442309379578,0.696
84,0.6349014639854431,0.716
85,0.6472415328025818,0.68
86,0.6235690712928772,0.712
87,0.6365315318107605,0.672
88,0.6054582595825195,0.704
89,0.5936864018440247,0.69
90,0.5934685468673706,0.712
91,0.5779326558113098,0.692
92,0.5933058857917786,0.706
93,0.5961013436317444,0.722
94,0.5758280158042908,0.752
95,0.5515599846839905,0.708
96,0.5531996488571167,0.72
97,0.535033106803894,0.722
98,0.5340498685836792,0.714
99,0.5752618908882141,0.71
100,0.5555934309959412,0.696
101,0.5366789698600769,0.708
102,0.5022273659706116,0.71
103,0.5123953223228455,0.71
104,0.5340661406517029,0.716
105,0.5262448787689209,0.716
106,0.504684567451477,0.71
107,0.5093556046485901,0.692
108,0.5601254105567932,0.722
109,0.4810655415058136,0.728
110,0.5072714686393738,0.746
111,0.49816828966140747,0.718
112,0.5283784866333008,0.706
113,0.47566208243370056,0.738
114,0.42689719796180725,0.726
115,0.48883742094039917,0.728
116,0.5106188058853149,0.762
117,0.4903658628463745,0.734
118,0.44713038206100464,0.71
119,0.4550367593765259,0.722
120,0.45127663016319275,0.744
121,0.46066659688949585,0.694
122,0.45737385749816895,0.722
123,0.44903233647346497,0.704
124,0.44035008549690247,0.71
125,0.4531468451023102,0.722
126,0.4292466938495636,0.704
127,0.46097585558891296,0.708
128,0.41054534912109375,0.716
129,0.4511984884738922,0.726
130,0.4575728178024292,0.728
131,0.38092681765556335,0.732
132,0.4052383601665497,0.716
133,0.45542606711387634,0.716
134,0.4102635085582733,0.73
135,0.39809855818748474,0.732
136,0.38951238989830017,0.766
137,0.447072297334671,0.74
138,0.4233454167842865,0.754
139,0.38292133808135986,0.734
140,0.40824708342552185,0.728
141,0.3941608965396881,0.71
142,0.4176008999347687,0.738
143,0.3976846933364868,0.712
144,0.4325218200683594,0.714
145,0.37843140959739685,0.728
146,0.39969661831855774,0.73
147,0.35278987884521484,0.734
148,0.38537171483039856,0.716
149,0.3969529867172241,0.738
150,0.40877705812454224,0.726
151,0.37708407640457153,0.736
152,0.38765934109687805,0.714
153,0.4143400490283966,0.706
154,0.40609797835350037,0.728
155,0.3473992943763733,0.71
156,0.35939261317253113,0.736
157,0.37892699241638184,0.722
158,0.3606838583946228,0.722
159,0.39234307408332825,0.72
160,0.3644249141216278,0.74
161,0.3587299585342407,0.708
162,0.3795716464519501,0.758
163,0.3654833436012268,0.742
164,0.36686617136001587,0.708
165,0.35824188590049744,0.72
166,0.3267037570476532,0.724
167,0.3972686231136322,0.71
168,0.3089613616466522,0.7
169,0.346373051404953,0.738
170,0.32851114869117737,0.728
171,0.34960120916366577,0.742
172,0.37061259150505066,0.742
173,0.3209149241447449,0.722
174,0.34496352076530457,0.74
175,0.35502710938453674,0.742
176,0.3865252435207367,0.744
177,0.341810017824173,0.742
178,0.31220826506614685,0.746
179,0.3498852252960205,0.734
180,0.3526005744934082,0.73
181,0.31373193860054016,0.738
182,0.33796578645706177,0.718
183,0.3462967872619629,0.724
184,0.32236483693122864,0.722
185,0.3104347586631775,0.714
186,0.35980165004730225,0.72
187,0.29121747612953186,0.732
188,0.3023977279663086,0.712
189,0.3268522322177887,0.708
190,0.2930448651313782,0.732
191,0.33703848719596863,0.728
192,0.2928757965564728,0.708
193,0.33530324697494507,0.728
194,0.2722436785697937,0.726
195,0.3081396222114563,0.74
196,0.30648353695869446,0.748
197,0.3495599031448364,0.746
198,0.34368500113487244,0.724
199,0.2992117702960968,0.722
200,0.3182101249694824,0.724
